,month,genre,total_plays
0,1,dance pop,1
1,1,pop,1
2,1,alternative rock,1
3,1,indie pop,1
4,1,edm,1
5,1,edm,1
6,1,alternative rock,1
7,2,pop,1
8,2,alternative metal,1
9,2,folk-pop,1
10,2,alternative metal,1
11,2,pop,1
12,2,pop,1
13,2,indie rock,1
14,2,dfw rap,1
15,2,edm,1
16,2,edm,1
17,2,hip hop,1
18,2,dfw rap,1
19,2,hip hop,1
20,2,alternative metal,1
21,2,alternative metal,1
22,3,alternative metal,1
23,3,folk-pop,1
24,3,alternative metal,1
25,3,hip hop,1
26,3,pop,1
27,3,dfw rap,1
28,3,dance pop,1
29,3,grunge,1
30,4,edm,2
31,4,trap,1
32,4,classic rock,1
33,4,folk-pop,1
34,4,edm,1
35,4,pop,1
36,4,hip hop,1
37,4,dance pop,1
38,4,dfw rap,1
39,4,indie pop,1
40,4,alternative metal,1
41,4,edm,1
42,4,dfw rap,1
43,4,hip hop,1
44,4,alternative metal,1
45,4,indie pop,1
46,4,dfw rap,1
47,5,edm,1
48,5,electropop,1
49,5,indie pop,1
50,5,alternative metal,1
51,5,dance pop,1
52,5,folk-pop,1
53,5,hip hop,1
54,5,alternative metal,1
55,6,alternative metal,1
56,6,hip hop,1
57,6,indie pop,1
58,6,electropop,1
59,6,edm,1
60,6,folk-pop,1
61,6,folk-pop,1
62,6,classic rock,1
63,6,edm,1
64,6,pop,1
65,6,alternative metal,1
66,6,indie pop,1
67,7,edm,1
68,7,dance pop,1
69,7,alternative metal,1
70,7,hip hop,1
71,7,folk-pop,1
72,7,alternative rock,1
73,7,dfw rap,1
74,7,folk-pop,1
75,7,pop,1
76,7,edm,1
77,7,edm,1
78,7,pop,1
79,8,pop,2
80,8,alternative metal,1
81,8,edm,1
82,8,pop,1
83,8,edm,1
84,8,edm,1
85,8,hip hop,1
86,8,pop,1
87,8,hip hop,1
88,8,folk-pop,1
89,8,electronica,1
90,8,indie pop,1
91,8,alternative rock,1
92,8,pop,1
93,8,pop,1
94,8,alternative rock,1
95,8,alternative metal,1
96,9,pop,1
97,9,edm,1
98,9,pop,1
99,9,indie pop,1
100,9,indie pop,1
101,9,pop,1
102,9,edm,1
103,9,alternative metal,1
104,9,folk-pop,1
105,9,edm,1
106,9,folk-pop,1
107,9,edm,1
108,9,edm,1
109,9,alternative metal,1
110,9,indie pop,1
111,10,alternative metal,1
112,10,dance pop,1
113,10,classic rock,1
114,10,dance pop,1
115,10,pop,1
116,10,indie pop,1
117,10,pop,1
118,10,edm,1
119,10,dfw rap,1
120,10,alternative metal,1
121,10,dance pop,1
122,11,folk-pop,1
123,11,pop,1
124,11,indie pop,1
125,11,hip hop,1
126,11,alternative metal,1
127,11,trap,1
128,11,alternative rock,1
129,11,alternative rock,1
130,11,alternative rock,1
131,11,dfw rap,1
132,11,electronica,1
133,12,alternative metal,1
134,12,folk-pop,1
135,12,indie pop,1
136,12,folk-pop,1
137,12,hip hop,1
138,12,edm,1
139,12,pop,1
140,12,hip hop,1
141,12,pop,1
142,12,indie pop,1
143,12,dfw rap,1
144,12,classic rock,1
145,12,pop,1
146,12,indie rock,1
147,12,pop,1
